region,sport,season,team,stadium,matches,spectators,source_year,source_name,source_note
서울특별시,배구,2020-2022 평균,우리카드,장충체육관,18,21105,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,최근 3년 평균 관중 수
서울특별시,배구,2020-2022 평균,GS칼텍스,장충체육관,18,24782,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,최근 3년 평균 관중 수
인천광역시,배구,2020-2022 평균,대한항공,인천계양체육관,18,13639,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,최근 3년 평균 관중 수
인천광역시,배구,2020-2022 평균,흥국생명,인천삼산월드체육관,18,32995,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,최근 3년 평균 관중 수
광주광역시,배구,2020-2022 평균,페퍼저축은행,페퍼스타디움,18,17871,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,최근 3년 평균 관중 수
대전광역시,배구,2020-2022 평균,삼성화재,대전충무체육관,18,9445,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,최근 3년 평균 관중 수
대전광역시,배구,2020-2022 평균,정관장,대전충무체육관,18,19188,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,최근 3년 평균 관중 수
경기도,배구,2020-2022 평균,OK금융그룹,안산상록수체육관,18,11823,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,최근 3년 평균 관중 수
경기도,배구,2020-2022 평균,한국전력,수원체육관,18,11744,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,최근 3년 평균 관중 수
경기도,배구,2020-2022 평균,KB손해보험,의정부체육관,18,15304,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,최근 3년 평균 관중 수
경기도,배구,2020-2022 평균,현대건설,수원체육관,18,21307,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,최근 3년 평균 관중 수
경기도,배구,2020-2022 평균,IBK기업은행,화성종합경기타운 실내체육관,18,19744,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,최근 3년 평균 관중 수
충청남도,배구,2020-2022 평균,현대캐피탈,천안유관순체육관,18,15613,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,최근 3년 평균 관중 수
경상북도,배구,2020-2022 평균,한국도로공사,김천실내체육관,18,21841,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,최근 3년 평균 관중 수
부산광역시,배구,2020-2022 평균,,,0,0,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,해당 기준 기간 프로배구 연고 구단 없음
대구광역시,배구,2020-2022 평균,,,0,0,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,해당 기준 기간 프로배구 연고 구단 없음
울산광역시,배구,2020-2022 평균,,,0,0,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,해당 기준 기간 프로배구 연고 구단 없음
세종특별자치시,배구,2020-2022 평균,,,0,0,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,해당 기준 기간 프로배구 연고 구단 없음
강원특별자치도,배구,2020-2022 평균,,,0,0,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,해당 기준 기간 프로배구 연고 구단 없음
충청북도,배구,2020-2022 평균,,,0,0,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,해당 기준 기간 프로배구 연고 구단 없음
전북특별자치도,배구,2020-2022 평균,,,0,0,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,해당 기준 기간 프로배구 연고 구단 없음
전라남도,배구,2020-2022 평균,,,0,0,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,해당 기준 기간 프로배구 연고 구단 없음
경상남도,배구,2020-2022 평균,,,0,0,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,해당 기준 기간 프로배구 연고 구단 없음
제주특별자치도,배구,2020-2022 평균,,,0,0,2023,한국프로스포츠협회 2023 프로스포츠 관람객 성향조사 프로배구,해당 기준 기간 프로배구 연고 구단 없음
