region,population,target_age_population,source_date,source_name,source_note
서울특별시,9299548,8276845,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
부산광역시,3241600,2859311,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
대구광역시,2353032,2049269,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
인천광역시,3051961,2642382,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
광주광역시,1392013,1191780,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
대전광역시,1440729,1247397,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
울산광역시,1091948,936011,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
세종특별자치시,391965,308426,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
경기도,13730135,11779280,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
강원특별자치도,1508500,1328802,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
충청북도,1596502,1389281,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
충청남도,2136753,1848039,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
전북특별자치도,1724856,1510416,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
전라남도,1779135,1559460,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
경상북도,2506526,2205977,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
경상남도,3207383,2775884,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
제주특별자치도,664792,563861,2025-12-31,행정안전부 주민등록 인구통계,"target_age_population은 18세 이상 인구"
